,mask_type,p@1,p@10,mrr,p@3,mAP,relation
0,mask_incontext,0,0,0.0,0,0.08280257372521825,Is
1,mask_sap,0,0,0.0,0,0.08292484034800221,Is
2,mask_dap,0,0,0.0,0,0.09469089432454782,Is
3,mask_sap_dap,0,0,0.0,0,0.0926441535423835,Is
4,mask_incontext_dap,0,0,0.0,0,0.09267269383676234,Is
5,mask_incontext,0,0,0.0,0,0.47916245188264134,IsA
6,mask_sap,0,0,0.0,0,0.40764451333740226,IsA
7,mask_dap,0,0,0.0,0,0.4395014509414194,IsA
8,mask_sap_dap,0,0,0.0,0,0.48130545417542775,IsA
9,mask_incontext_dap,0,0,0.0,0,0.47376843257072615,IsA
10,mask_incontext,0,0,0.0,0,0.11813297565572234,Has
11,mask_sap,0,0,0.0,0,0.14020739847547875,Has
12,mask_dap,0,0,0.0,0,0.18402873723081659,Has
13,mask_sap_dap,0,0,0.0,0,0.18915173462233498,Has
14,mask_incontext_dap,0,0,0.0,0,0.17728746809146356,Has
15,mask_incontext,0,0,0.0,0,0.3130877524390093,HasA
16,mask_sap,0,0,0.0,0,0.011456224196094444,HasA
17,mask_dap,0,0,0.0,0,0.33206208247018565,HasA
18,mask_sap_dap,0,0,0.0,0,0.3083225152236005,HasA
19,mask_incontext_dap,0,0,0.0,0,0.33201870205746764,HasA
20,mask_incontext,0,0,0.0,0,0.3246870742799914,MadeOf
21,mask_sap,0,0,0.0,0,0.3130233200512585,MadeOf
22,mask_dap,0,0,0.0,0,0.36697413831670417,MadeOf
23,mask_sap_dap,0,0,0.0,0,0.3611791612153218,MadeOf
24,mask_incontext_dap,0,0,0.0,0,0.3593247810902659,MadeOf
