	mask_type	p@1	p@5	p@10	relation	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	9.0	20.5	26.3	IsA	9.0	4.9	13.4	11.5	14.2	14.7	5.45	0.965
1	def_sap	9.0	20.5	26.3	IsA	9.0	4.9	13.4	11.5	14.2	14.7	5.45	0.965
2	lsp_sap	7.6	19.900000000000002	27.500000000000004	IsA	7.6	4.6	11.700000000000001	14.6	12.3	21.4	5.45	0.965
3	sentence_dap	10.6	23.1	29.599999999999998	IsA	10.6	6.0	15.299999999999999	12.9	16.2	16.5	5.45	0.965
4	def_dap	10.5	23.3	29.7	IsA	10.5	5.8999999999999995	15.1	13.0	16.0	16.5	5.45	0.965
5	lsp_dap	8.9	21.8	28.599999999999998	IsA	8.9	5.0	13.0	17.1	13.5	23.400000000000002	5.45	0.965
6	def_sap_uniform	9.0	20.5	26.3	IsA	9.0	4.9	13.4	11.5	14.2	14.7	5.45	0.965
7	lsp_sap_uniform	8.200000000000001	20.200000000000003	27.6	IsA	8.200000000000001	5.2	10.6	12.1	10.7	16.6	5.45	0.965
8	def_dap_uniform	10.5	23.3	29.7	IsA	10.5	5.8999999999999995	15.1	13.0	16.0	16.5	5.45	0.965
9	lsp_dap_uniform	10.8	21.8	29.099999999999998	IsA	10.8	7.000000000000001	12.3	13.0	12.3	17.5	5.45	0.965
