	mask_type	p@1	p@5	p@10	p@9	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	mAP@9	recall@9	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	59.0	94.39999999999999	100.0	100.0	IsA	73.3	59.0	59.0	72.5	94.39999999999999	73.3	100.0	73.3	100.0	7.22	0.981
1	def_sap	25.2	87.8	100.0	100.0	IsA	53.400000000000006	25.2	25.2	51.6	87.8	53.400000000000006	100.0	53.400000000000006	100.0	7.22	0.981
2	lsp_sap	68.8	95.3	100.0	100.0	IsA	79.3	68.8	68.8	78.60000000000001	95.3	79.3	100.0	79.3	100.0	7.22	0.981
3	sentence_dap	69.6	93.8	97.7	97.7	IsA	79.2	69.6	69.6	78.60000000000001	93.8	79.2	97.7	79.2	97.7	7.22	0.981
4	def_dap	50.3	91.5	97.7	97.7	IsA	68.7	50.3	50.3	67.80000000000001	91.5	68.7	97.7	68.7	97.7	7.22	0.981
5	lsp_dap	73.6	93.8	97.7	97.7	IsA	81.8	73.6	73.6	81.2	93.8	81.8	97.7	81.8	97.7	7.22	0.981
6	def_sap_uniform	25.2	87.8	100.0	100.0	IsA	53.400000000000006	25.2	25.2	51.6	87.8	53.400000000000006	100.0	53.400000000000006	100.0	7.22	0.981
7	lsp_sap_uniform	68.8	95.3	100.0	100.0	IsA	79.3	68.8	68.8	78.60000000000001	95.3	79.3	100.0	79.3	100.0	7.22	0.981
8	def_dap_uniform	50.3	91.5	97.7	97.7	IsA	68.7	50.3	50.3	67.80000000000001	91.5	68.7	97.7	68.7	97.7	7.22	0.981
9	lsp_dap_uniform	73.6	93.8	97.7	97.7	IsA	81.8	73.6	73.6	81.2	93.8	81.8	97.7	81.8	97.7	7.22	0.981
