	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	27.6	54.2	63.2	IsA	39.0	27.6	16.3	37.5	31.2	38.1	36.9	7.14	0.979
1	def_sap	13.5	41.0	50.9	IsA	24.7	13.5	7.9	23.400000000000002	23.5	24.7	29.2	7.14	0.979
2	lsp_sap	20.5	41.5	52.800000000000004	IsA	29.7	20.5	11.5	26.6	30.9	26.5	43.1	7.14	0.979
3	sentence_dap	41.099999999999994	59.9	67.9	IsA	49.5	41.099999999999994	23.200000000000003	48.3	33.0	48.8	38.1	7.14	0.979
4	def_dap	19.8	50.5	58.199999999999996	IsA	33.300000000000004	19.8	11.200000000000001	32.2	27.900000000000002	33.300000000000004	31.8	7.14	0.979
5	lsp_dap	35.9	55.900000000000006	62.7	IsA	44.5	35.9	19.7	40.8	47.0	40.6	55.00000000000001	7.14	0.979
6	def_sap_uniform	13.5	41.0	50.9	IsA	24.7	13.5	7.9	23.400000000000002	23.5	24.7	29.2	7.14	0.979
7	lsp_sap_uniform	20.5	41.5	52.800000000000004	IsA	29.7	20.5	11.5	23.5	22.900000000000002	22.6	29.4	7.14	0.979
8	def_dap_uniform	19.8	50.5	58.199999999999996	IsA	33.300000000000004	19.8	11.200000000000001	32.2	27.900000000000002	33.300000000000004	31.8	7.14	0.979
9	lsp_dap_uniform	36.1	56.2	63.0	IsA	44.7	36.1	19.900000000000002	34.9	30.7	33.5	34.2	7.14	0.979
