,mask_type,p@1,p@10,relation,mrr,mAP@1,mAP@10
0,mask_incontext,0.2191780821917808,0.4094368340943683,HasA,28.3,0.2191780821917808,0.2828966441980139
1,mask_sap,0.1050228310502283,0.2480974124809741,HasA,15.4,0.1050228310502283,0.15440373511149766
2,mask_dap,0.2313546423135464,0.4490106544901065,HasA,29.7,0.2313546423135464,0.2974463047522407
3,mask_sap_dap,0.0639269406392694,0.4611872146118721,HasA,16.4,0.0639269406392694,0.16404351187456204
4,mask_incontext_dap,0.1232876712328767,0.4383561643835616,HasA,20.1,0.1232876712328767,0.20123758788142357
5,mask_incontext,0.16697473813924832,0.36229205175600737,HasProperty,22.5,0.16697473813924832,0.22546675273107797
6,mask_sap,0.01170671595810228,0.03450400492914356,HasProperty,2.0,0.01170671595810228,0.019831000792183785
7,mask_dap,0.1534195933456562,0.3512014787430684,HasProperty,21.0,0.1534195933456562,0.20979838433627704
8,mask_sap_dap,0.0036968576709796672,0.3142329020332717,HasProperty,8.2,0.0036968576709796672,0.08237146573560612
9,mask_incontext_dap,0.08379544054220579,0.3561306223043746,HasProperty,15.3,0.08379544054220579,0.15314746354487566
10,mask_incontext,0.27746031746031746,0.5612698412698413,IsA,37.3,0.27746031746031746,0.37265784832451465
11,mask_sap,0.11365079365079366,0.37523809523809526,IsA,19.1,0.11365079365079366,0.19141169060216667
12,mask_dap,0.2704761904761905,0.5542857142857143,IsA,36.0,0.2704761904761905,0.3595353993449231
13,mask_sap_dap,0.050793650793650794,0.47873015873015873,IsA,12.1,0.050793650793650794,0.12122474174855102
14,mask_incontext_dap,0.15746031746031747,0.5847619047619048,IsA,26.7,0.15746031746031747,0.2667369614512469
